Index,Magnitude
0,3.80119e+06
1,12642.2
2,13210.7
3,14088.6
4,15341
5,16925
6,18812.3
7,21070
8,23718.4
9,26802.4
10,30395.5
11,34575.5
12,39512
13,45341.4
14,52308.2
15,60762.1
16,71126.6
17,84090.4
18,100724
19,122688
20,152878
21,196660
22,265445
23,388122
24,665935
25,1.87497e+06
26,2.97015e+06
27,896333
28,552518
29,412393
30,337226
31,291090
32,260544
33,239416
34,224582
35,214185
36,207240
37,203123
38,201473
39,202222
40,205421
41,211341
42,220479
43,233719
44,252512
45,279329
46,318526
47,378856
48,479985
49,677327
50,1.21146e+06
51,7.13121e+06
52,1.76179e+06
53,778618
54,501224
55,372557
56,299690
57,253846
58,223152
59,201903
60,186987
61,176579
62,169583
63,165340
64,163415
65,163652
66,166032
67,170691
68,178026
69,188702
70,203892
71,225730
72,258084
73,309087
74,398569
75,590494
76,1.26904e+06
77,4.86814e+06
78,781248
79,412849
80,277091
81,207983
82,167310
83,141505
84,124544
85,113326
86,106133
87,101872
88,99933.6
89,99890
90,101493
91,104701
92,109547
93,116214
94,125119
95,136989
96,152965
97,175246
98,207934
99,260155
100,356091
101,589330
102,1.9888e+06
103,1.27731e+06
104,460515
105,272001
106,188148
107,140717
108,110210
109,88909.7
110,73200.3
111,61147.1
112,51626.3
113,43896.6
114,37582
115,32360
116,27964.2
117,24371.4
118,21447.3
119,19146
120,17413.8
121,16288.9
122,15765.5
123,15650.8
124,16167.1
125,16940.7
126,18080.7
127,19747.1
128,4.67378e+06
129,21358.7
130,23439.1
131,25491.5
132,27593.5
133,29874.6
134,32346.9
135,34976.7
136,37895
137,41127.9
138,44749.9
139,48823.8
140,53493.1
141,58919
142,65258.1
143,72853.7
144,82089.5
145,93551.2
146,108197
147,127424
148,153793
149,191997
150,252065
151,359172
152,601970
153,1.659e+06
154,2.57953e+06
155,765327
156,464938
157,342779
158,277421
159,237556
160,211295
161,193321
162,180818
163,172234
164,166638
165,163492
166,162469
167,163472
168,166507
169,171756
170,179545
171,190580
172,205867
173,227231
174,257992
175,304510
176,381315
177,529416
178,926384
179,5.30003e+06
180,1.26426e+06
181,534785
182,326585
183,227966
184,170349
185,132460
186,105500
187,85151.6
188,69149.5
189,56060.3
190,45009.9
191,35348.3
192,26725.6
193,18910.5
194,12176.6
195,8801.05
196,12552.6
197,20945.3
198,32058.9
199,46420.6
200,65970.5
201,94904.3
202,143504
203,244896
204,597748
205,2.57606e+06
206,459280
207,267164
208,195475
209,158340
210,135947
211,121380
212,111453
213,104659
214,100092
215,97306.1
216,96008.6
217,96052.3
218,97441.2
219,100205
220,104544
221,110757
222,119375
223,131152
224,147536
225,170861
226,205792
227,262347
228,367538
229,625285
230,2.17845e+06
231,1.45179e+06
232,545371
233,337193
234,245347
235,193931
236,161338
237,138929
238,122754
239,110591
240,101216
241,93852.1
242,87921
243,83206.5
244,79347.5
245,76209.7
246,73647.6
247,71620
248,69973.4
249,68685.5
250,67733.8
251,67102.6
252,66683.2
253,66556.5
254,66758.1
255,67197.4
256,3.79188e+06
257,67529.3
258,68650
259,69830.2
260,71260.6
261,72922
262,74888.4
263,77140.2
264,79739.4
265,82726.7
266,86211.5
267,90234.2
268,94913.5
269,100447
270,106975
271,114747
272,124284
273,136084
274,151116
275,170655
276,197307
277,235643
278,295383
279,401229
280,639642
281,1.67304e+06
282,2.46521e+06
283,691166
284,395991
285,274797
286,209007
287,167931
288,140063
289,120158
290,105526
291,94577.2
292,86439.6
293,80575.5
294,76680.6
295,74564.2
296,74214.1
297,75732.6
298,79209.6
299,85104.1
300,94041.1
301,107162
302,126406
303,155948
304,205088
305,300042
306,554936
307,3.36385e+06
308,853256
309,384599
310,251049
311,188068
312,151457
313,127659
314,111003
