Index,Magnitude
0,1.53851e+07
1,25589.1
2,25671
3,25809.3
4,26009
5,26277.7
6,26589.7
7,26951.7
8,27383.8
9,27880.4
10,28438.3
11,29048.1
12,29739.4
13,30479.7
14,31306
15,32195.5
16,33172.5
17,34213.6
18,35353.4
19,36584.1
20,37912.7
21,39338.5
22,40902.4
23,42564.3
24,44375.9
25,46333.2
26,48464.9
27,50779.3
28,53301.5
29,56062.9
30,59102.3
31,62427.5
32,66129
33,70242.6
34,74822.5
35,79981.9
36,85826
37,92485.6
38,100162
39,109091
40,119619
41,132222
42,147553
43,166614
44,190972
45,223190
46,267774
47,333614
48,440533
49,644691
50,1.18899e+06
51,7.17616e+06
52,1.80453e+06
53,806611
54,521499
55,386407
56,307584
57,255938
58,219482
59,192357
60,171394
61,154695
62,141082
63,129769
64,120226
65,112050
66,104987
67,98807.1
68,93355.7
69,88516.9
70,84189.7
71,80286.1
72,76765.8
73,73560.9
74,70639.4
75,67957
76,65488.7
77,63204.8
78,61099.7
79,59127.6
80,57312.2
81,55593
82,53991
83,52497.3
84,51090.1
85,49762.8
86,48516.3
87,47320.7
88,46203.6
89,45138.2
90,44127.9
91,43158.7
92,42252.6
93,41375.8
94,40534.2
95,39745.2
96,38984.7
97,38247
98,37550.8
99,36875.1
100,36233.9
101,35617.9
102,34992.2
103,34468.5
104,33901.2
105,33363.7
106,32853.2
107,32353.9
108,31878.5
109,31414.5
110,30956.7
111,30531.1
112,30106.1
113,29700.9
114,29301.1
115,28915.4
116,28549.6
117,28204.1
118,27840.8
119,27496.2
120,27156.4
121,26846.4
122,26515.3
123,26203.6
124,25907.4
125,25628.7
126,25345.9
127,25076.5
128,24807.2
129,24546.5
130,24290.7
131,24053.2
132,23783.4
133,23551.8
134,23325.6
135,23096.2
136,22871.1
137,22656.2
138,22445.1
139,22228.1
140,22027.7
141,21833.2
142,21639.1
143,21442.2
144,21257.4
145,21073.8
146,20914.6
147,20720.3
148,20541.6
149,20363.9
150,20205.6
151,20025
152,19892.3
153,19734.6
154,19582
155,19420.9
156,19275.6
157,19127.2
158,19010.2
159,18847.2
160,18712.5
161,18567.1
162,18440.9
163,18301.2
164,18192.6
165,18054
166,17927.8
167,17811.3
168,17691.2
169,17561.9
170,17445.5
171,17324.3
172,17224.3
173,17116.4
174,17009.4
175,16899.7
176,16793.8
177,16676.7
178,16576.1
179,16477.7
180,16375.8
181,16275.7
182,16185
183,16089.3
184,15988.4
185,15897
186,15799.6
187,15709.9
188,15622.5
189,15542.1
190,15450.1
191,15369.6
192,15288.1
193,15207.7
194,15112.3
195,15032.1
196,14954.8
197,14886
198,14803.7
199,14724.3
200,14650.1
201,14569.8
202,14497.8
203,14430.5
204,14350
205,14242.3
206,14214.2
207,14139.6
208,14089.7
209,14002.7
210,13966.2
211,13875.7
212,13814.1
213,13742
214,13676.6
215,13599.4
216,13548.9
217,13496.4
218,13429.2
219,13389.8
220,13329.4
221,13266
222,13215.4
223,13139.1
224,13089.3
225,13040.3
226,12983.3
227,12918.8
228,12884.6
229,12814.5
230,12764.8
231,12706.6
232,12659.1
233,12596.7
234,12514.2
235,12508.1
236,12463.6
237,12426.7
238,12362
239,12307.8
240,12268.6
241,12221.7
242,12093.9
243,12135.8
244,12086.7
245,12039.1
246,11994.2
247,11952.7
248,11904
249,11863.6
250,11827
251,11793.5
252,11716
253,11722.3
254,11655.9
255,11617.8
256,11595.2
257,11562.1
258,11514.8
259,11405
260,11430.7
261,11392.5
262,11355.1
263,11296.8
264,11286.8
265,11240.3
266,11193.9
267,11167.4
268,11130.9
269,11082.4
270,11063.8
271,11020.2
272,10987.9
273,10962.8
274,11003.6
275,10892.4
276,10860.3
277,10820.9
278,10795
279,10766.8
280,10673.4
281,10705.1
282,10660.7
283,10634.2
284,10591.2
285,10581.1
286,10549.3
287,10525.8
288,10486
289,10480.1
290,10429.3
291,10407.2
292,10376
293,10356.5
294,10324.4
295,10291.4
296,10295.5
297,10244.7
298,10206.2
299,10179.6
300,10152.2
301,10136.5
302,10115.1
303,10083.7
304,10060.6
305,10035.7
306,10019.3
307,9992.55
308,9954.71
309,9933.55
310,9924.71
311,9879.08
312,9864.83
313,9838.93
314,9836.84
315,9790.55
316,9766.42
317,9747.48
318,9734.43
